,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,2
19,2
20,2
21,2
22,2
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,8
81,8
82,8
83,8
84,8
85,8
86,9
87,9
88,9
89,9
90,9
91,9
92,9
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,11
102,11
103,11
104,11
105,11
106,11
107,11
108,11
109,11
110,11
111,12
112,12
113,12
114,12
115,12
116,12
117,12
118,12
119,12
120,12
121,12
122,12
123,13
124,13
125,13
126,13
127,13
128,13
129,13
130,13
131,13
132,13
133,13
134,13
135,13
136,13
137,13
138,13
139,14
140,14
141,14
142,14
143,14
144,14
145,14
146,14
147,14
148,14
149,14
150,14
151,14
152,14
153,14
154,14
155,15
156,15
157,15
158,15
159,15
160,15
161,15
162,15
163,15
164,15
165,15
166,15
167,15
168,15
169,16
170,16
171,16
172,16
173,16
174,16
175,16
176,16
177,16
178,16
179,16
180,16
181,16
182,17
183,17
184,17
185,17
186,17
187,17
188,18
189,18
190,18
191,18
192,18
193,18
194,18
195,18
196,19
197,19
198,19
199,19
200,19
201,19
202,19
203,19
204,19
205,19
206,20
207,20
208,20
209,20
210,20
211,20
212,20
213,20
214,20
215,20
216,20
217,21
218,21
219,21
220,21
221,21
222,21
223,21
224,21
225,21
226,22
227,22
228,22
229,22
230,22
231,22
232,22
233,22
234,22
235,22
236,22
237,22
238,23
239,23
240,23
241,23
242,23
243,23
244,23
245,23
246,24
247,24
248,24
249,24
250,24
251,24
252,24
253,24
254,24
255,24
256,24
257,24
258,24
259,25
260,25
261,25
262,25
263,25
264,25
265,25
266,25
267,25
268,25
269,26
270,26
271,26
272,26
273,26
274,26
275,26
276,26
277,26
278,26
279,26
280,27
281,27
282,27
283,27
284,27
285,27
286,27
287,27
288,27
289,27
290,28
291,28
292,28
293,28
294,28
295,28
296,28
297,28
298,28
299,28
300,28
301,28
302,28
303,29
304,29
305,29
306,29
307,29
308,29
309,29
310,29
311,29
312,29
313,30
314,30
315,30
316,30
317,30
318,30
319,30
320,30
321,30
322,31
323,31
324,31
325,31
326,31
327,31
328,31
329,31
330,31
331,32
332,32
333,32
334,32
335,32
336,32
337,32
338,32
339,32
340,32
341,32
342,33
343,33
344,33
345,33
346,33
347,33
348,33
349,33
350,33
351,33
352,33
353,33
354,33
355,34
356,34
357,34
358,34
359,34
360,34
361,34
362,34
363,34
364,34
365,34
366,35
367,35
368,35
369,35
370,35
371,35
372,35
373,35
374,35
375,35
376,35
377,35
378,35
379,36
380,36
381,36
382,36
383,36
384,36
385,36
386,36
387,36
388,36
389,36
390,36
391,37
392,37
393,37
394,37
395,37
396,37
397,37
398,37
399,38
400,38
401,38
402,38
403,38
404,38
405,38
406,38
407,38
408,38
409,38
410,39
411,39
412,39
413,39
414,39
415,39
416,39
417,39
418,39
419,39
420,39
421,39
422,39
423,40
424,40
425,40
426,40
427,40
428,40
429,40
430,41
431,41
432,41
433,41
434,41
435,41
436,41
437,41
438,41
439,41
